1;4.15E+009
1.1247;4.98E+009
2.4797;1.75E+010
3.8347;8.42E+009
5.1897;7.20E+009
6.5448;3.26E+010
7.8998;6.56E+010
9.2548;3.29E+010
10.348;3.42E+010
11.16;7.04E+010
11.726;1.56E+011
12.104;3.62E+011
12.35;8.45E+011
12.506;1.88E+012
12.604;3.66E+012
12.665;5.85E+012
12.703;7.61E+012
12.727;8.61E+012
12.741;9.07E+012
12.765;9.39E+012
12.779;9.29E+012
12.795;8.95E+012
12.818;8.05E+012
12.842;6.94E+012
12.88;5.20E+012
12.943;3.19E+012
13.045;1.60E+012
13.209;6.92E+011
13.477;2.74E+011
13.912;1.03E+011
14.618;3.71E+010
15.765;1.27E+010
17.627;4.12E+009
20.651;1.23E+009
23.674;5.13E+008
26.698;2.56E+008
29.721;1.43E+008
32.745;8.64E+007
35.768;5.52E+007
38.792;3.69E+007
41.815;2.55E+007
44.839;1.81E+007
47.862;1.32E+007
50.886;9.82E+006
53.909;7.43E+006
56.933;5.70E+006
59.956;4.44E+006
62.98;3.49E+006
66.003;2.77E+006
69.027;2.22E+006
72.05;1.80E+006
75.074;1.46E+006
78.097;1.20E+006
81.121;9.85E+005
84.144;8.15E+005
87.168;6.77E+005
90;5.71E+005
