#HEADER
#CHANTITLE
No:1091  Top PSD of stress
#TITLES
,No:1091  Top Frequency,No:1091  Top PSD of stress
#UNITS
,Hz,Pa^2/Hz
#KEYWORDS
,Frequency,PSD
#DATATYPES
Huge,Float,Float
#DATA
259,242.4,1.168E10
260,243.4,1.16E10
261,244.4,1.152E10
262,245.4,1.144E10
263,246.3,1.136E10
264,247.3,1.129E10
265,248.3,1.121E10
266,249.3,1.113E10
267,250.2,1.106E10
268,251.2,1.098E10
269,252.2,1.091E10
270,253.2,1.083E10
271,254.2,1.076E10
272,255.1,1.069E10
273,256.1,1.062E10
274,257.1,1.055E10
275,258.1,1.048E10
276,259,1.041E10
277,260,1.034E10
278,261,1.027E10
279,262,1.021E10
280,263,1.014E10
281,263.9,1.008E10
282,264.9,1.001E10
283,265.9,9.946E9
284,266.9,9.883E9
285,267.8,9.82E9
286,268.8,9.758E9
287,269.8,9.696E9
288,270.8,9.635E9
289,271.7,9.575E9
290,272.7,9.515E9
291,273.6,9.46E9
292,273.7,9.462E9
293,274.7,9.491E9
294,275.7,9.52E9
295,276.6,9.549E9
296,277.6,9.578E9
297,278.6,9.607E9
298,279.6,9.636E9
299,280.5,9.665E9
300,281.5,9.694E9
301,282.5,9.723E9
302,283.5,9.751E9
303,284.5,9.78E9
304,285.4,9.809E9
305,286.4,9.838E9
306,287.4,9.867E9
307,288.4,9.896E9
308,289.3,9.925E9
309,290.3,9.953E9
310,291.3,9.982E9
311,292.3,1.001E10
312,293.3,1.004E10
313,293.8,1.006E10
314,294.2,1.008E10
315,295.2,1.013E10
316,295.6,1.016E10
317,295.8,1.017E10
318,295.9,1.018E10
319,296.2,1.019E10
320,297.2,1.025E10
321,297.7,1.029E10
322,298.1,1.033E10
323,299.1,1.044E10
324,300.1,1.054E10
325,301.1,1.065E10
326,302.1,1.075E10
327,303,1.086E10
328,304,1.097E10
329,305,1.107E10
330,306,1.118E10
331,306.9,1.129E10
332,307.9,1.14E10
333,308.9,1.151E10
334,309.9,1.162E10
335,310.9,1.173E10
336,311.8,1.185E10
337,312.8,1.196E10
338,313.8,1.208E10
339,314.8,1.219E10
340,315.7,1.231E10
341,316.7,1.242E10
342,317.7,1.254E10
343,318.7,1.266E10
344,319.6,1.278E10
345,319.7,1.278E10
346,320.6,1.303E10
347,321.6,1.329E10
348,322.6,1.356E10
349,323.6,1.383E10
350,324.5,1.41E10
351,325.5,1.438E10
352,326.5,1.467E10
353,327.5,1.495E10
354,328.4,1.525E10
355,329.4,1.555E10
356,330.4,1.585E10
357,331.4,1.616E10
358,332.4,1.647E10
359,333.3,1.679E10
360,334.3,1.712E10
361,335.3,1.745E10
362,336.3,1.778E10
363,337.2,1.812E10
364,338.2,1.847E10
365,339.2,1.882E10
366,340.2,1.918E10
367,341.2,1.954E10
368,341.2,1.955E10
369,342.1,2.025E10
370,343.1,2.099E10
371,344.1,2.176E10
372,345.1,2.256E10
373,346,2.338E10
374,347,2.423E10
375,348,2.511E10
376,349,2.602E10
377,350,2.695E10
378,350.9,2.792E10
379,351.9,2.892E10
380,352.9,2.996E10
381,353.9,3.102E10
382,354.8,3.212E10
383,355.8,3.326E10
384,356.8,3.444E10
385,357.7,3.553E10
386,357.8,3.58E10
387,358.7,3.858E10
388,359.7,4.157E10
389,360.7,4.478E10
390,361.7,4.823E10
391,362.7,5.194E10
392,363.6,5.592E10
393,364.6,6.02E10
394,365.6,6.478E10
395,366.6,6.971E10
396,367.5,7.499E10
397,368.5,8.066E10
398,369.5,8.674E10
399,370.5,9.326E10
400,371.5,1.003E11
401,372.4,1.077E11
402,373.4,1.158E11
403,374.4,1.244E11
404,375.4,1.336E11
405,376.3,1.435E11
406,377.3,1.541E11
407,378.3,1.654E11
408,379.3,1.775E11
409,380.3,1.905E11
410,381.2,2.044E11
411,382.2,2.193E11
412,383.2,2.352E11
413,384.1,2.509E11
414,384.2,2.512E11
415,385.1,2.547E11
416,386.1,2.584E11
417,386.4,2.594E11
418,386.6,2.585E11
419,386.8,2.574E11
420,387.1,2.535E11
421,388.1,2.409E11
422,389.1,2.29E11
423,389.1,2.281E11
424,390,2.069E11
425,391,1.861E11
426,392,1.675E11
427,393,1.508E11
428,393.9,1.358E11
429,394.9,1.223E11
430,395.9,1.102E11
431,396.9,9.928E10
432,397.8,8.948E10
433,398.8,8.068E10
434,399.8,7.275E10
435,400.8,6.563E10
436,401.8,5.921E10
437,402.7,5.344E10
438,403.7,4.824E10
439,404.7,4.356E10
440,405.7,3.934E10
441,406.6,3.554E10
442,407.6,3.211E10
443,408.6,2.902E10
444,409.6,2.624E10
445,410.6,2.373E10
446,411.5,2.146E10
447,412.5,1.941E10
448,413.5,1.757E10
449,414.5,1.59E10
450,415.4,1.44E10
451,416.4,1.304E10
452,417.4,1.181E10
453,417.9,1.126E10
454,418.4,1.09E10
455,419.4,1.025E10
456,420.3,9.63E9
457,421.3,9.052E9
458,422.3,8.51E9
459,423.3,8.002E9
460,424.2,7.526E9
461,425.2,7.078E9
462,426.2,6.658E9
463,427.2,6.264E9
464,428.2,5.894E9
465,429.1,5.547E9
466,430.1,5.221E9
467,431.1,4.915E9
468,432.1,4.627E9
469,433,4.357E9
470,434,4.103E9
471,435,3.864E9
472,436,3.64E9
473,437,3.429E9
474,437.9,3.231E9
475,438.9,3.045E9
476,439.9,2.87E9
477,440.9,2.705E9
478,441.8,2.55E9
479,442.8,2.405E9
480,443.8,2.267E9
481,444.8,2.138E9
482,445.7,2.017E9
483,446.7,1.903E9
484,447.7,1.795E9
485,448.7,1.694E9
486,449.7,1.598E9
487,450.6,1.509E9
488,451.6,1.424E9
489,452.3,1.371E9
490,452.6,1.348E9
491,453.6,1.282E9
492,454.5,1.219E9
493,455.5,1.16E9
494,456.5,1.103E9
495,457.5,1.05E9
496,458.5,9.989E8
497,459.4,9.507E8
498,460.4,9.048E8
499,461.4,8.613E8
500,462.4,8.199E8
501,463.3,7.806E8
502,464.3,7.433E8
503,465.3,7.078E8
504,466.3,6.741E8
505,467.3,6.42E8
506,468.2,6.116E8
507,469.2,5.826E8
508,470.2,5.551E8
509,471.2,5.289E8
510,472.1,5.04E8
511,473.1,4.803E8
512,474.1,4.578E8
513,475.1,4.364E8
514,476.1,4.16E8
515,477,3.967E8
516,478,3.782E8
517,479,3.607E8
518,479.2,3.575E8
519,480,3.423E8
520,480.9,3.246E8
521,481.9,3.078E8
522,482.9,2.919E8
523,483.9,2.768E8
524,484.8,2.626E8
525,485.8,2.491E8
526,486.8,2.363E8
527,487.8,2.242E8
528,488.8,2.128E8
529,489.7,2.019E8
530,490.7,1.917E8
531,491.7,1.819E8
532,492.7,1.727E8
533,493.6,1.64E8
534,494.6,1.557E8
535,495.6,1.479E8
536,496.6,1.404E8
537,497.6,1.334E8
538,498.5,1.267E8
539,499.5,1.204E8
540,500.5,1.144E8
541,501.5,1.087E8
542,502.4,1.033E8
543,503.4,9.816E7
544,504.4,9.331E7
545,505.4,8.87E7
546,506.4,8.432E7
547,507.3,8.017E7
548,508.3,7.623E7
549,509.3,7.249E7
550,510.3,6.894E7
551,511.2,6.558E7
552,512.2,6.238E7
553,513.2,5.934E7
554,514.2,5.646E7
555,514.6,5.538E7
556,515.2,5.346E7
557,516.1,5.046E7
558,517.1,4.763E7
559,517.6,4.615E7
560,517.9,4.54E7
561,518.1,4.496E7
562,518.2,4.466E7
563,519.1,4.237E7
564,520,3.994E7
565,521,3.765E7
566,521.3,3.699E7
567,522,3.637E7
568,523,3.55E7
569,523.9,3.465E7
570,524.9,3.382E7
571,525.9,3.301E7
572,526.9,3.223E7
573,527.9,3.146E7
574,528.8,3.071E7
575,529.8,2.999E7
576,530.8,2.928E7
577,531.8,2.859E7
578,532.7,2.792E7
579,533.7,2.726E7
580,534.7,2.662E7
581,535.7,2.6E7
582,536.7,2.539E7
583,537.6,2.48E7
584,538.6,2.422E7
585,539.6,2.366E7
586,540.6,2.311E7
587,541.5,2.257E7
588,542.5,2.205E7
589,543.5,2.154E7
590,544.5,2.105E7
591,545.5,2.056E7
592,546.4,2.009E7
593,547.4,1.963E7
594,548.4,1.918E7
595,549.4,1.874E7
596,550.3,1.831E7
597,551.3,1.79E7
598,552.3,1.749E7
599,553.3,1.709E7
600,554.3,1.671E7
601,555.2,1.633E7
602,556.2,1.596E7
603,557.2,1.56E7
604,558.2,1.525E7
605,559.1,1.491E7
606,559.8,1.468E7
607,560.1,1.475E7
608,561.1,1.497E7
609,562.1,1.52E7
610,563,1.543E7
611,564,1.566E7
612,565,1.59E7
613,566,1.613E7
614,567,1.638E7
615,567.9,1.662E7
616,568.9,1.687E7
617,569.9,1.712E7
618,570.9,1.737E7
619,571.8,1.763E7
620,572.8,1.789E7
621,573.8,1.816E7
622,574.8,1.843E7
623,575.8,1.87E7
624,576.7,1.897E7
625,577.7,1.925E7
626,578.7,1.953E7
627,579.7,1.982E7
628,580.6,2.011E7
629,581.6,2.04E7
630,582.6,2.07E7
631,583.6,2.1E7
632,584.6,2.13E7
633,585.5,2.161E7
634,586.5,2.193E7
635,587.5,2.224E7
636,588.5,2.256E7
637,589.4,2.289E7
638,590.4,2.322E7
639,591.4,2.355E7
640,592.4,2.389E7
641,593.4,2.423E7
642,594.3,2.457E7
643,595.3,2.492E7
644,596.3,2.528E7
645,597.3,2.564E7
646,598.2,2.6E7
647,599.2,2.637E7
648,600.2,2.674E7
649,601.2,2.712E7
650,602.2,2.75E7
651,603.1,2.789E7
652,604.1,2.828E7
653,605.1,2.868E7
654,606.1,2.908E7
655,607,2.948E7
656,608,2.99E7
657,609,3.031E7
658,610,3.073E7
659,610.9,3.116E7
660,611.9,3.159E7
661,612.9,3.203E7
662,613.9,3.247E7
663,614.9,3.292E7
664,615.8,3.337E7
665,616.8,3.383E7
666,617.8,3.43E7
667,618.8,3.477E7
668,619.7,3.524E7
669,620.7,3.572E7
670,621.7,3.621E7
671,622.7,3.67E7
672,623.7,3.72E7
673,624.6,3.771E7
674,625.6,3.822E7
675,626.6,3.874E7
676,627.6,3.926E7
677,628.5,3.979E7
678,629.5,4.032E7
679,630.5,4.087E7
680,631.5,4.142E7
681,632.5,4.197E7
682,633.4,4.253E7
683,634.4,4.31E7
684,635.4,4.368E7
685,636.4,4.426E7
686,637.3,4.485E7
687,638.3,4.544E7
688,639.3,4.604E7
689,640.3,4.665E7
690,641.3,4.727E7
691,642.2,4.79E7
692,643.2,4.853E7
693,644.2,4.917E7
694,645.2,4.981E7
695,646.1,5.047E7
696,647.1,5.113E7
697,648.1,5.18E7
698,649.1,5.247E7
699,650,5.316E7
700,651,5.385E7
701,652,5.455E7
702,653,5.526E7
703,654,5.597E7
704,654.9,5.67E7
705,655.9,5.743E7
706,656.9,5.817E7
707,657.9,5.892E7
708,658.8,5.968E7
709,659.8,6.044E7
710,660.8,6.122E7
711,661.8,6.2E7
712,662.8,6.28E7
713,663.7,6.36E7
714,664.7,6.441E7
715,665.7,6.523E7
716,666.7,6.606E7
717,667.6,6.69E7
718,668.6,6.775E7
719,669.6,6.86E7
720,670.6,6.947E7
721,671.6,7.035E7
722,672.5,7.123E7
723,673.5,7.213E7
724,674.5,7.304E7
725,675.5,7.395E7
726,676.4,7.488E7
727,677.4,7.582E7
728,678.4,7.676E7
729,679.4,7.772E7
730,680.4,7.869E7
731,681.3,7.967E7
732,682.3,8.066E7
733,683.3,8.166E7
734,684.3,8.267E7
735,685.2,8.369E7
736,686.2,8.472E7
737,687.2,8.577E7
738,688.2,8.682E7
739,689.1,8.789E7
740,690.1,8.897E7
741,691.1,9.006E7
742,692.1,9.116E7
743,693.1,9.228E7
744,694,9.341E7
745,695,9.454E7
746,696,9.57E7
747,697,9.686E7
748,697.9,9.803E7
749,698.9,9.922E7
750,699.9,1.004E8
751,700.9,1.016E8
752,701.9,1.029E8
753,702.8,1.041E8
754,703.8,1.054E8
755,704.8,1.066E8
756,705.8,1.079E8
757,706.7,1.092E8
758,707.7,1.105E8
759,708.7,1.118E8
760,709.7,1.132E8
761,710.7,1.145E8
762,711.6,1.159E8
763,712.6,1.173E8
764,713.6,1.186E8
765,714.6,1.2E8
766,715.5,1.215E8
